rank,japanese,reading_ko,meaning_ko,category
94,喫煙,키츠엔,흡연,호텔
95,温泉,온센,온천,호텔
96,大浴場,다이요쿠조오,대욕장,호텔
97,店,미세,가게,식당
98,レストラン,레스토란,레스토랑,식당
99,居酒屋,이자카야,이자카야 / 선술집,식당
100,席,세키,자리,식당
101,メニュー,메뉴우,메뉴,식당
102,おすすめ,오스스메,추천,식당
103,注文,추우몬,주문,식당
104,料理,료오리,요리,식당
105,ご飯,고한,밥 / 식사,식당
106,肉,니쿠,고기,식당
107,魚,사카나,생선,식당
108,野菜,야사이,채소,식당
109,寿司,스시,초밥,식당
110,刺身,사시미,회,식당
111,焼肉,야키니쿠,야키니쿠 / 고기구이,식당
112,ラーメン,라아멘,라멘,식당
113,うどん,우동,우동,식당
114,そば,소바,소바,식당
115,ビール,비이루,맥주,식당
116,生ビール,나마비이루,생맥주,식당
117,日本酒,니혼슈,일본주 / 사케,식당
118,お会計,오카이케이,계산,식당
119,辛い,카라이,맵다,식당
120,甘い,아마이,달다,식당
121,コンビニ,콘비니,편의점,쇼핑
122,スーパー,스우파아,슈퍼마켓,쇼핑
123,値段,네단,가격,쇼핑
124,現金,겐킨,현금,쇼핑
125,カード,카아도,카드,쇼핑
126,免税,멘제에,면세,쇼핑
127,レシート,레시이토,영수증,쇼핑
128,袋,후쿠로,봉투 / 봉지,쇼핑
129,サイズ,사이즈,사이즈,쇼핑
130,色,이로,색,쇼핑
131,お土産,오미야게,기념품 / 선물,쇼핑
132,薬局,야쿄쿠,약국,쇼핑
133,薬,쿠스리,약,쇼핑
134,電池,덴치,건전지,쇼핑
135,傘,카사,우산,쇼핑
136,充電,주우덴,충전,쇼핑
137,警察,케에사츠,경찰,긴급
138,病院,뵤오인,병원,긴급
139,救急車,큐우큐우샤,구급차,긴급
140,助け,타스케,도움,긴급
141,財布,사이후,지갑,긴급
142,携帯,케에타이,휴대폰,긴급
143,紛失,훈시츠,분실,긴급
144,痛い,이타이,아프다,긴급
145,熱,네츠,열,긴급
146,アレルギー,아레루기이,알레르기,긴급
147,事故,지코,사고,긴급
148,危険,키켄,위험,긴급
149,予約番号,요야쿠방고오,예약 번호,공항
150,便名,빈메에,편명 / 항공편 번호,공항
151,遅延,치엔,지연,공항
152,欠航,켓코오,결항,공항
153,到着ロビー,토오챠쿠로비이,도착 로비,공항
154,出発ロビー,슛파츠로비이,출발 로비,공항
155,忘れ物,와스레모노,분실물 / 두고 온 물건,긴급
156,案内所,안나이조,안내소,여행
157,地図,치즈,지도,여행
158,住所,주우쇼,주소,여행
159,電話番号,덴와방고오,전화번호,여행
160,営業時間,에에교오지칸,영업시간,여행
