rank,japanese,reading,meaning_ko,example_jp,example_ko,category
26,袋をください,ふくろを ください,봉투 주세요,袋を一つください。,봉투 하나 주세요.,쇼핑
27,袋はいりません,ふくろは いりません,봉투는 필요 없어요,袋はいりません。ありがとうございます。,봉투는 필요 없습니다. 감사합니다.,쇼핑
28,試着してもいいですか,しちゃくしても いいですか,입어봐도 될까요,これを試着してもいいですか。,이거 입어봐도 될까요?,쇼핑
29,別のサイズはありますか,べつの さいずは ありますか,다른 사이즈 있나요,もう少し大きいサイズはありますか。,조금 더 큰 사이즈가 있나요?,쇼핑
30,別の色はありますか,べつの いろは ありますか,다른 색 있나요,黒はありますか。,검은색 있나요?,쇼핑
31,免税できますか,めんぜい できますか,면세 가능한가요,これは免税できますか。,이건 면세 가능한가요?,쇼핑
32,これを見せてください,これを みせて ください,이거 보여 주세요,すみません。これを見せてください。,저기요. 이거 보여 주세요.,쇼핑
33,ちょっと高いですね,ちょっと たかいですね,조금 비싸네요,これはちょっと高いですね。,이건 조금 비싸네요.,쇼핑
34,安くできますか,やすく できますか,조금 싸게 해주실 수 있나요,もう少し安くできますか。,조금 더 싸게 해주실 수 있나요?,쇼핑
35,レシートをください,れしーとを ください,영수증 주세요,レシートをください。,영수증 주세요.,쇼핑
36,おすすめは何ですか,おすすめは なんですか,추천은 뭐예요,ここのおすすめは何ですか。,여기 추천 메뉴가 뭐예요?,음식
37,これを一つください,これを ひとつ ください,이거 하나 주세요,これを一つください。,이거 하나 주세요.,음식
38,二人です,ふたりです,두 명입니다,予約していません。二人です。,예약은 안 했고 두 명입니다.,음식
39,予約しています,よやくして います,예약했습니다,七時に予約しています。,7시에 예약했습니다.,음식
40,席はありますか,せきは ありますか,자리 있나요,二人ですが席はありますか。,두 명인데 자리 있나요?,음식
41,辛くないものはありますか,からくない ものは ありますか,맵지 않은 음식 있나요,辛くないものはありますか。,맵지 않은 음식이 있나요?,음식
42,これは辛いですか,これは からいですか,이거 매워요,これは辛いですか。,이거 매워요?,음식
43,水をください,みずを ください,물 주세요,すみません。水をください。,저기요. 물 주세요.,음식
44,ビールを一つください,びーるを ひとつ ください,맥주 하나 주세요,生ビールを一つください。,생맥주 하나 주세요.,음식
45,お会計お願いします,おかいけい おねがいします,계산 부탁합니다,すみません。お会計お願いします。,저기요. 계산 부탁합니다.,음식
46,別々に払えますか,べつべつに はらえますか,따로 계산할 수 있나요,別々に払えますか。,각자 계산할 수 있나요?,음식
47,とても美味しいです,とても おいしいです,정말 맛있어요,これとても美味しいです。,이거 정말 맛있어요.,음식
48,いただきます,いただきます,잘 먹겠습니다,では。いただきます。,그럼 잘 먹겠습니다.,음식
49,ごちそうさまでした,ごちそうさまでした,잘 먹었습니다,美味しかったです。ごちそうさまでした。,맛있었습니다. 잘 먹었습니다.,음식
50,持ち帰りできますか,もちかえり できますか,포장 가능한가요,これは持ち帰りできますか。,이거 포장 가능한가요?,음식
51,トイレはどこですか,といれは どこですか,화장실은 어디예요,すみません。トイレはどこですか。,실례합니다. 화장실은 어디예요?,여행
52,駅はどこですか,えきは どこですか,역은 어디예요,一番近い駅はどこですか。,가장 가까운 역은 어디예요?,여행
53,ここに行きたいです,ここに いきたいです,여기에 가고 싶어요,この地図の場所に行きたいです。,이 지도에 있는 곳으로 가고 싶어요.,여행
54,どうやって行きますか,どうやって いきますか,어떻게 가나요,空港までどうやって行きますか。,공항까지 어떻게 가나요?,여행
55,ここから近いですか,ここから ちかいですか,여기서 가까워요,駅はここから近いですか。,역은 여기서 가까워요?,여행
56,何分ぐらいかかりますか,なんぷんぐらい かかりますか,몇 분 정도 걸리나요,歩いて何分ぐらいかかりますか。,걸어서 몇 분 정도 걸리나요?,여행
57,この電車で合っていますか,この でんしゃで あっていますか,이 전철이 맞나요,新宿へはこの電車で合っていますか。,신주쿠에는 이 전철 타는 게 맞나요?,여행
58,どこで乗り換えますか,どこで のりかえますか,어디에서 갈아타나요,どこで乗り換えますか。,어디에서 환승하나요?,여행
59,次はどこですか,つぎは どこですか,다음은 어디예요,次はどこの駅ですか。,다음은 어느 역이에요?,여행
60,ここで降ります,ここで おります,여기서 내릴게요,次の駅で降ります。,다음 역에서 내릴게요.,여행
61,切符を一枚ください,きっぷを いちまい ください,표 한 장 주세요,東京までの切符を一枚ください。,도쿄까지 가는 표 한 장 주세요.,여행
62,ICカードは使えますか,あいしーかーどは つかえますか,IC카드 사용할 수 있나요,このバスでICカードは使えますか。,이 버스에서 IC카드 사용할 수 있나요?,여행
63,空港までお願いします,くうこうまで おねがいします,공항까지 부탁합니다,空港までお願いします。,공항까지 부탁합니다.,택시
64,この住所までお願いします,この じゅうしょまで おねがいします,이 주소까지 부탁합니다,この住所までお願いします。,이 주소까지 부탁합니다.,택시
65,ここで止めてください,ここで とめて ください,여기서 세워 주세요,ここで止めてください。,여기서 세워 주세요.,택시
66,クレジットカードで払えますか,くれじっとかーどで はらえますか,신용카드로 결제할 수 있나요,カードで払えますか。,카드로 결제할 수 있나요?,택시
67,チェックインお願いします,ちぇっくいん おねがいします,체크인 부탁합니다,チェックインお願いします。,체크인 부탁합니다.,호텔
68,予約した者です,よやくした ものです,예약한 사람입니다,予約した者です。名前はキムです。,예약한 사람입니다. 이름은 김입니다.,호텔
69,荷物を預けてもいいですか,にもつを あずけても いいですか,짐을 맡겨도 될까요,チェックイン前に荷物を預けてもいいですか。,체크인 전에 짐을 맡겨도 될까요?,호텔
70,Wi-Fiはありますか,わいふぁいは ありますか,와이파이 있나요,部屋にWi-Fiはありますか。,방에 와이파이 있나요?,호텔
71,朝食は何時からですか,ちょうしょくは なんじからですか,아침 식사는 몇 시부터예요,朝食は何時からですか。,아침 식사는 몇 시부터예요?,호텔
72,チェックアウトは何時ですか,ちぇっくあうとは なんじですか,체크아웃은 몇 시예요,チェックアウトは何時ですか。,체크아웃은 몇 시예요?,호텔
73,タオルをもう一枚ください,たおるを もういちまい ください,수건 한 장 더 주세요,タオルをもう一枚ください。,수건 한 장 더 주세요.,호텔
74,部屋を変えられますか,へやを かえられますか,방을 바꿀 수 있나요,部屋を変えられますか。,방을 바꿀 수 있나요?,호텔
75,エアコンが動きません,えあこんが うごきません,에어컨이 작동하지 않아요,すみません。エアコンが動きません。,죄송한데 에어컨이 작동하지 않아요.,호텔
76,鍵をなくしました,かぎを なくしました,열쇠를 잃어버렸어요,部屋の鍵をなくしました。,방 열쇠를 잃어버렸어요.,호텔
77,写真を撮ってもらえますか,しゃしんを とって もらえますか,사진 찍어 주실 수 있나요,すみません。写真を撮ってもらえますか。,죄송한데 사진 찍어 주실 수 있나요?,여행
78,写真を撮ってもいいですか,しゃしんを とっても いいですか,사진 찍어도 될까요,ここで写真を撮ってもいいですか。,여기서 사진 찍어도 될까요?,여행
79,おすすめの場所はありますか,おすすめの ばしょは ありますか,추천할 만한 곳이 있나요,近くにおすすめの場所はありますか。,근처에 추천할 만한 곳이 있나요?,여행
80,今日は何時までですか,きょうは なんじまでですか,오늘 몇 시까지예요,今日は何時までですか。,오늘 몇 시까지예요?,여행
81,ちょっと難しいです,ちょっと むずかしいです,조금 어렵습니다/곤란합니다,今日はちょっと難しいです。,오늘은 조금 어렵습니다.,회화
82,また今度,また こんど,다음에 또/다음 기회에,じゃあ。また今度。,그럼 다음에 또 봐요.,회화
83,楽しみです,たのしみです,기대돼요,旅行が楽しみです。,여행이 기대돼요.,회화
84,気をつけて,きを つけて,조심해/잘 다녀와,気をつけて帰ってください。,조심해서 돌아가세요.,회화
85,また会いましょう,また あいましょう,또 만나요,また日本で会いましょう。,또 일본에서 만나요.,인사
86,お久しぶりです,おひさしぶりです,오랜만입니다,お久しぶりです。元気でしたか。,오랜만입니다. 잘 지냈어요?,인사
87,元気ですか,げんきですか,잘 지내세요,お元気ですか。,잘 지내세요?,인사
88,元気です,げんきです,잘 지냅니다,はい。元気です。,네. 잘 지냅니다.,인사
89,お名前は何ですか,おなまえは なんですか,이름이 뭐예요,お名前は何ですか。,성함이 어떻게 되세요?,기본
90,私はジフンです,わたしは じふんです,저는 지훈입니다,はじめまして。私はジフンです。,처음 뵙겠습니다. 저는 지훈입니다.,기본
91,よろしくお願いします,よろしく おねがいします,잘 부탁드립니다,これからよろしくお願いします。,앞으로 잘 부탁드립니다.,인사
92,何時ですか,なんじですか,몇 시예요,今何時ですか。,지금 몇 시예요?,시간
93,何時に会いますか,なんじに あいますか,몇 시에 만날까요,明日何時に会いますか。,내일 몇 시에 만날까요?,시간
94,どこで会いますか,どこで あいますか,어디서 만날까요,駅で会いましょうか。,역에서 만날까요?,회화
95,一緒に行きましょう,いっしょに いきましょう,같이 가요,一緒にご飯を食べに行きましょう。,같이 밥 먹으러 가요.,회화
96,ちょっと疲れました,ちょっと つかれました,조금 피곤해요,今日はちょっと疲れました。,오늘은 조금 피곤합니다.,회화
97,お腹が空きました,おなかが すきました,배고파요,お腹が空きました。何か食べましょう。,배고파요. 뭐 좀 먹어요.,회화
98,喉が渇きました,のどが かわきました,목말라요,喉が渇きました。水を飲みたいです。,목말라요. 물을 마시고 싶습니다.,회화
99,楽しかったです,たのしかったです,즐거웠어요,今日は本当に楽しかったです。,오늘 정말 즐거웠어요.,회화
100,また来ます,また きます,또 올게요,とても良かったです。また来ます。,정말 좋았습니다. 또 올게요.,회화
