rank,expression,count,frequency_score,source
58,come in,809,58.2,OpenSubtitles v2018 / OPUS
59,why don't,808,58.2,OpenSubtitles v2018 / OPUS
60,take a,804,58.1,OpenSubtitles v2018 / OPUS
61,there's a,789,58.0,OpenSubtitles v2018 / OPUS
62,trying to,789,58.0,OpenSubtitles v2018 / OPUS
63,to tell,774,57.8,OpenSubtitles v2018 / OPUS
64,come to,761,57.6,OpenSubtitles v2018 / OPUS
65,i've been,746,57.5,OpenSubtitles v2018 / OPUS
66,i'm going,745,57.5,OpenSubtitles v2018 / OPUS
67,sit down,744,57.4,OpenSubtitles v2018 / OPUS
68,do you know,741,57.4,OpenSubtitles v2018 / OPUS
69,i won't,740,57.4,OpenSubtitles v2018 / OPUS
70,get the,740,57.4,OpenSubtitles v2018 / OPUS
71,it's the,737,57.4,OpenSubtitles v2018 / OPUS
72,i mean,728,57.3,OpenSubtitles v2018 / OPUS
73,get a,727,57.2,OpenSubtitles v2018 / OPUS
74,do you want,726,57.2,OpenSubtitles v2018 / OPUS
75,you've got,725,57.2,OpenSubtitles v2018 / OPUS
76,the matter,721,57.2,OpenSubtitles v2018 / OPUS
77,what happened,716,57.1,OpenSubtitles v2018 / OPUS
78,to come,716,57.1,OpenSubtitles v2018 / OPUS
79,come back,716,57.1,OpenSubtitles v2018 / OPUS
80,i'd like,716,57.1,OpenSubtitles v2018 / OPUS
81,give you,705,57.0,OpenSubtitles v2018 / OPUS
82,do you think,704,57.0,OpenSubtitles v2018 / OPUS
83,that's what,695,56.9,OpenSubtitles v2018 / OPUS
84,i'm sure,692,56.8,OpenSubtitles v2018 / OPUS
85,know how,687,56.8,OpenSubtitles v2018 / OPUS
86,get it,687,56.8,OpenSubtitles v2018 / OPUS
87,it's all,685,56.7,OpenSubtitles v2018 / OPUS
88,isn't it,669,56.5,OpenSubtitles v2018 / OPUS
89,up the,669,56.5,OpenSubtitles v2018 / OPUS
90,why don't you,664,56.5,OpenSubtitles v2018 / OPUS
91,you in,646,56.2,OpenSubtitles v2018 / OPUS
92,there's no,645,56.2,OpenSubtitles v2018 / OPUS
93,talk to,643,56.2,OpenSubtitles v2018 / OPUS
94,that's the,640,56.1,OpenSubtitles v2018 / OPUS
95,he's a,631,56.0,OpenSubtitles v2018 / OPUS
96,on your,628,56.0,OpenSubtitles v2018 / OPUS
97,know that,626,55.9,OpenSubtitles v2018 / OPUS
98,care of,619,55.8,OpenSubtitles v2018 / OPUS
99,you didn't,602,55.6,OpenSubtitles v2018 / OPUS
100,in that,601,55.6,OpenSubtitles v2018 / OPUS
101,don't want to,588,55.4,OpenSubtitles v2018 / OPUS
102,i love,587,55.4,OpenSubtitles v2018 / OPUS
103,come here,586,55.4,OpenSubtitles v2018 / OPUS
104,to work,586,55.4,OpenSubtitles v2018 / OPUS
105,don't be,584,55.3,OpenSubtitles v2018 / OPUS
106,wait a,583,55.3,OpenSubtitles v2018 / OPUS
107,try to,582,55.3,OpenSubtitles v2018 / OPUS
108,take the,581,55.3,OpenSubtitles v2018 / OPUS
109,you're a,576,55.2,OpenSubtitles v2018 / OPUS
110,that's right,573,55.2,OpenSubtitles v2018 / OPUS
111,what's the matter,572,55.2,OpenSubtitles v2018 / OPUS
112,i wouldn't,572,55.2,OpenSubtitles v2018 / OPUS
113,you won't,564,55.0,OpenSubtitles v2018 / OPUS
114,tell him,554,54.9,OpenSubtitles v2018 / OPUS
115,that's why,554,54.9,OpenSubtitles v2018 / OPUS
116,aren't you,553,54.9,OpenSubtitles v2018 / OPUS
117,don't worry,553,54.9,OpenSubtitles v2018 / OPUS
118,i haven't,550,54.8,OpenSubtitles v2018 / OPUS
119,don't think,547,54.8,OpenSubtitles v2018 / OPUS
120,didn't you,546,54.8,OpenSubtitles v2018 / OPUS
121,i'm gonna,542,54.7,OpenSubtitles v2018 / OPUS
122,and get,540,54.7,OpenSubtitles v2018 / OPUS
123,out of here,540,54.7,OpenSubtitles v2018 / OPUS
124,you come,539,54.6,OpenSubtitles v2018 / OPUS
125,away from,539,54.6,OpenSubtitles v2018 / OPUS
126,won't be,536,54.6,OpenSubtitles v2018 / OPUS
127,i'm afraid,536,54.6,OpenSubtitles v2018 / OPUS
128,i get,533,54.6,OpenSubtitles v2018 / OPUS
129,to talk,531,54.5,OpenSubtitles v2018 / OPUS
130,that way,527,54.5,OpenSubtitles v2018 / OPUS
131,get out of,518,54.3,OpenSubtitles v2018 / OPUS
132,take care,515,54.3,OpenSubtitles v2018 / OPUS
133,i'm a,514,54.2,OpenSubtitles v2018 / OPUS
134,shut up,513,54.2,OpenSubtitles v2018 / OPUS
135,i need,511,54.2,OpenSubtitles v2018 / OPUS
136,this way,507,54.1,OpenSubtitles v2018 / OPUS
137,i'm going to,506,54.1,OpenSubtitles v2018 / OPUS
138,to give,505,54.1,OpenSubtitles v2018 / OPUS
139,go back,504,54.1,OpenSubtitles v2018 / OPUS
140,go ahead,503,54.0,OpenSubtitles v2018 / OPUS
141,to find,499,54.0,OpenSubtitles v2018 / OPUS
142,in his,496,53.9,OpenSubtitles v2018 / OPUS
143,want you,488,53.8,OpenSubtitles v2018 / OPUS
144,wait a minute,485,53.7,OpenSubtitles v2018 / OPUS
145,you know what,484,53.7,OpenSubtitles v2018 / OPUS
146,let's get,483,53.7,OpenSubtitles v2018 / OPUS
147,i'd like to,480,53.6,OpenSubtitles v2018 / OPUS
148,you just,478,53.6,OpenSubtitles v2018 / OPUS
149,don't have,478,53.6,OpenSubtitles v2018 / OPUS
150,good morning,477,53.6,OpenSubtitles v2018 / OPUS
151,what's wrong,475,53.6,OpenSubtitles v2018 / OPUS
152,i feel,472,53.5,OpenSubtitles v2018 / OPUS
153,in there,468,53.4,OpenSubtitles v2018 / OPUS
154,i'll take,467,53.4,OpenSubtitles v2018 / OPUS
155,think i,467,53.4,OpenSubtitles v2018 / OPUS
156,i don't want to,464,53.3,OpenSubtitles v2018 / OPUS
157,think of,460,53.3,OpenSubtitles v2018 / OPUS
158,over there,454,53.2,OpenSubtitles v2018 / OPUS
159,take care of,452,53.1,OpenSubtitles v2018 / OPUS
160,the right,451,53.1,OpenSubtitles v2018 / OPUS
161,know the,449,53.1,OpenSubtitles v2018 / OPUS
162,time to,449,53.1,OpenSubtitles v2018 / OPUS
163,but it's,448,53.0,OpenSubtitles v2018 / OPUS
164,over here,447,53.0,OpenSubtitles v2018 / OPUS
165,don't understand,445,53.0,OpenSubtitles v2018 / OPUS
166,it's just,444,53.0,OpenSubtitles v2018 / OPUS
167,that's a,444,53.0,OpenSubtitles v2018 / OPUS
168,you tell,443,52.9,OpenSubtitles v2018 / OPUS
169,a thing,442,52.9,OpenSubtitles v2018 / OPUS
170,gonna be,433,52.7,OpenSubtitles v2018 / OPUS
171,get you,433,52.7,OpenSubtitles v2018 / OPUS
172,way to,432,52.7,OpenSubtitles v2018 / OPUS
173,think so,429,52.7,OpenSubtitles v2018 / OPUS
174,think you,428,52.6,OpenSubtitles v2018 / OPUS
175,was in,427,52.6,OpenSubtitles v2018 / OPUS
176,you take,422,52.5,OpenSubtitles v2018 / OPUS
177,you'd better,419,52.5,OpenSubtitles v2018 / OPUS
178,we don't,418,52.4,OpenSubtitles v2018 / OPUS
179,you really,418,52.4,OpenSubtitles v2018 / OPUS
180,in here,417,52.4,OpenSubtitles v2018 / OPUS
181,let us,415,52.4,OpenSubtitles v2018 / OPUS
182,right now,414,52.4,OpenSubtitles v2018 / OPUS
183,love you,412,52.3,OpenSubtitles v2018 / OPUS
184,do you mean,412,52.3,OpenSubtitles v2018 / OPUS
185,long time,411,52.3,OpenSubtitles v2018 / OPUS
186,why didn't,410,52.3,OpenSubtitles v2018 / OPUS
187,i'll get,409,52.3,OpenSubtitles v2018 / OPUS
188,it out,409,52.3,OpenSubtitles v2018 / OPUS
189,know it,406,52.2,OpenSubtitles v2018 / OPUS
190,one thing,405,52.2,OpenSubtitles v2018 / OPUS
191,that's not,404,52.1,OpenSubtitles v2018 / OPUS
192,didn't know,403,52.1,OpenSubtitles v2018 / OPUS
193,you need,400,52.1,OpenSubtitles v2018 / OPUS
194,but i'm,400,52.1,OpenSubtitles v2018 / OPUS
195,what do you want,396,52.0,OpenSubtitles v2018 / OPUS
196,we've got,394,51.9,OpenSubtitles v2018 / OPUS
197,you'll be,394,51.9,OpenSubtitles v2018 / OPUS
198,happened to,391,51.9,OpenSubtitles v2018 / OPUS
199,good evening,391,51.9,OpenSubtitles v2018 / OPUS
200,i couldn't,390,51.8,OpenSubtitles v2018 / OPUS
201,up and,388,51.8,OpenSubtitles v2018 / OPUS
202,need to,387,51.8,OpenSubtitles v2018 / OPUS
203,want me,385,51.7,OpenSubtitles v2018 / OPUS
204,you're going,384,51.7,OpenSubtitles v2018 / OPUS
205,a look,384,51.7,OpenSubtitles v2018 / OPUS
206,off the,384,51.7,OpenSubtitles v2018 / OPUS
207,and i'm,384,51.7,OpenSubtitles v2018 / OPUS
208,i'll go,380,51.6,OpenSubtitles v2018 / OPUS
209,was just,378,51.6,OpenSubtitles v2018 / OPUS
210,out of the,378,51.6,OpenSubtitles v2018 / OPUS
211,on that,377,51.5,OpenSubtitles v2018 / OPUS
212,want you to,377,51.5,OpenSubtitles v2018 / OPUS
213,we'll be,376,51.5,OpenSubtitles v2018 / OPUS
214,find out,376,51.5,OpenSubtitles v2018 / OPUS
215,and i'll,375,51.5,OpenSubtitles v2018 / OPUS
216,if you want,375,51.5,OpenSubtitles v2018 / OPUS
217,over the,374,51.5,OpenSubtitles v2018 / OPUS
218,why didn't you,370,51.4,OpenSubtitles v2018 / OPUS
219,i tell,370,51.4,OpenSubtitles v2018 / OPUS
220,in love,370,51.4,OpenSubtitles v2018 / OPUS
221,i don't think,368,51.3,OpenSubtitles v2018 / OPUS
222,to tell you,368,51.3,OpenSubtitles v2018 / OPUS
223,him in,366,51.3,OpenSubtitles v2018 / OPUS
224,get to,366,51.3,OpenSubtitles v2018 / OPUS
225,don't get,366,51.3,OpenSubtitles v2018 / OPUS
226,a long time,365,51.3,OpenSubtitles v2018 / OPUS
227,i love you,365,51.3,OpenSubtitles v2018 / OPUS
228,we can't,364,51.2,OpenSubtitles v2018 / OPUS
229,what do you mean,363,51.2,OpenSubtitles v2018 / OPUS
230,don't know what,363,51.2,OpenSubtitles v2018 / OPUS
231,on you,361,51.2,OpenSubtitles v2018 / OPUS
232,we're going,361,51.2,OpenSubtitles v2018 / OPUS
233,get back,359,51.1,OpenSubtitles v2018 / OPUS
234,you don't know,356,51.1,OpenSubtitles v2018 / OPUS
235,to think,355,51.0,OpenSubtitles v2018 / OPUS
236,know i,355,51.0,OpenSubtitles v2018 / OPUS
237,don't like,354,51.0,OpenSubtitles v2018 / OPUS
238,down to,353,51.0,OpenSubtitles v2018 / OPUS
239,on his,352,51.0,OpenSubtitles v2018 / OPUS
240,know you,351,50.9,OpenSubtitles v2018 / OPUS
241,very good,349,50.9,OpenSubtitles v2018 / OPUS
242,you wouldn't,348,50.9,OpenSubtitles v2018 / OPUS
243,on this,345,50.8,OpenSubtitles v2018 / OPUS
244,this time,343,50.7,OpenSubtitles v2018 / OPUS
245,out there,343,50.7,OpenSubtitles v2018 / OPUS
246,get him,342,50.7,OpenSubtitles v2018 / OPUS
247,get in,339,50.6,OpenSubtitles v2018 / OPUS
248,hurry up,337,50.6,OpenSubtitles v2018 / OPUS
249,sure you,336,50.6,OpenSubtitles v2018 / OPUS
250,let him,336,50.6,OpenSubtitles v2018 / OPUS
251,go home,336,50.6,OpenSubtitles v2018 / OPUS
252,just like,335,50.5,OpenSubtitles v2018 / OPUS
253,come along,335,50.5,OpenSubtitles v2018 / OPUS
254,right to,335,50.5,OpenSubtitles v2018 / OPUS
255,you're in,334,50.5,OpenSubtitles v2018 / OPUS
256,we'll have,334,50.5,OpenSubtitles v2018 / OPUS
257,let you,333,50.5,OpenSubtitles v2018 / OPUS
258,not in,332,50.4,OpenSubtitles v2018 / OPUS
259,can get,332,50.4,OpenSubtitles v2018 / OPUS
260,he's got,332,50.4,OpenSubtitles v2018 / OPUS
261,if you're,331,50.4,OpenSubtitles v2018 / OPUS
262,know about,331,50.4,OpenSubtitles v2018 / OPUS
263,if you don't,329,50.4,OpenSubtitles v2018 / OPUS
264,you look,328,50.3,OpenSubtitles v2018 / OPUS
265,going on,328,50.3,OpenSubtitles v2018 / OPUS
266,don't care,328,50.3,OpenSubtitles v2018 / OPUS
267,good bye,326,50.3,OpenSubtitles v2018 / OPUS
268,i'll tell,324,50.2,OpenSubtitles v2018 / OPUS
269,wait for,323,50.2,OpenSubtitles v2018 / OPUS
270,go to the,322,50.2,OpenSubtitles v2018 / OPUS
271,up with,322,50.2,OpenSubtitles v2018 / OPUS
272,you feel,322,50.2,OpenSubtitles v2018 / OPUS
273,up there,321,50.2,OpenSubtitles v2018 / OPUS
274,just the,321,50.2,OpenSubtitles v2018 / OPUS
275,you sure,321,50.2,OpenSubtitles v2018 / OPUS
276,all over,320,50.1,OpenSubtitles v2018 / OPUS
277,can't be,318,50.1,OpenSubtitles v2018 / OPUS
278,get out of here,318,50.1,OpenSubtitles v2018 / OPUS
279,believe me,317,50.0,OpenSubtitles v2018 / OPUS
280,give him,316,50.0,OpenSubtitles v2018 / OPUS
281,it wasn't,316,50.0,OpenSubtitles v2018 / OPUS
282,in our,314,50.0,OpenSubtitles v2018 / OPUS
283,right away,313,49.9,OpenSubtitles v2018 / OPUS
284,we get,313,49.9,OpenSubtitles v2018 / OPUS
285,need a,312,49.9,OpenSubtitles v2018 / OPUS
286,think about,312,49.9,OpenSubtitles v2018 / OPUS
287,he doesn't,312,49.9,OpenSubtitles v2018 / OPUS
288,know why,311,49.9,OpenSubtitles v2018 / OPUS
289,you've been,311,49.9,OpenSubtitles v2018 / OPUS
290,you've got to,310,49.9,OpenSubtitles v2018 / OPUS
291,let's see,309,49.8,OpenSubtitles v2018 / OPUS
292,to talk to,309,49.8,OpenSubtitles v2018 / OPUS
293,want me to,308,49.8,OpenSubtitles v2018 / OPUS
294,you mind,308,49.8,OpenSubtitles v2018 / OPUS
295,get up,307,49.8,OpenSubtitles v2018 / OPUS
296,wrong with,307,49.8,OpenSubtitles v2018 / OPUS
297,don't let,307,49.8,OpenSubtitles v2018 / OPUS
298,get some,306,49.7,OpenSubtitles v2018 / OPUS
299,give it,306,49.7,OpenSubtitles v2018 / OPUS
300,go away,305,49.7,OpenSubtitles v2018 / OPUS
301,he didn't,303,49.7,OpenSubtitles v2018 / OPUS
302,happen to,303,49.7,OpenSubtitles v2018 / OPUS
303,i'm in,299,49.5,OpenSubtitles v2018 / OPUS
304,it's too,299,49.5,OpenSubtitles v2018 / OPUS
305,me out,299,49.5,OpenSubtitles v2018 / OPUS
306,down there,298,49.5,OpenSubtitles v2018 / OPUS
307,i tell you,296,49.5,OpenSubtitles v2018 / OPUS
308,right here,296,49.5,OpenSubtitles v2018 / OPUS
309,spider's web,296,49.5,OpenSubtitles v2018 / OPUS
310,give me a,295,49.4,OpenSubtitles v2018 / OPUS
311,get me,295,49.4,OpenSubtitles v2018 / OPUS
312,it won't,295,49.4,OpenSubtitles v2018 / OPUS
313,hold it,294,49.4,OpenSubtitles v2018 / OPUS
314,it doesn't,292,49.3,OpenSubtitles v2018 / OPUS
315,go out,291,49.3,OpenSubtitles v2018 / OPUS
316,i want you,290,49.3,OpenSubtitles v2018 / OPUS
317,don't make,289,49.2,OpenSubtitles v2018 / OPUS
318,i don't care,289,49.2,OpenSubtitles v2018 / OPUS
319,time i,288,49.2,OpenSubtitles v2018 / OPUS
320,i'll have,288,49.2,OpenSubtitles v2018 / OPUS
321,i'll give,287,49.2,OpenSubtitles v2018 / OPUS
322,it's all right,287,49.2,OpenSubtitles v2018 / OPUS
323,i'll do,286,49.2,OpenSubtitles v2018 / OPUS
324,i wanna,283,49.1,OpenSubtitles v2018 / OPUS
325,go and,283,49.1,OpenSubtitles v2018 / OPUS
326,get that,278,48.9,OpenSubtitles v2018 / OPUS
327,out on,277,48.9,OpenSubtitles v2018 / OPUS
328,well that's,277,48.9,OpenSubtitles v2018 / OPUS
329,it's my,276,48.8,OpenSubtitles v2018 / OPUS
330,i remember,276,48.8,OpenSubtitles v2018 / OPUS
331,get your,276,48.8,OpenSubtitles v2018 / OPUS
332,you're the,275,48.8,OpenSubtitles v2018 / OPUS
333,here in,275,48.8,OpenSubtitles v2018 / OPUS
334,have to go,274,48.8,OpenSubtitles v2018 / OPUS
335,around here,274,48.8,OpenSubtitles v2018 / OPUS
336,back to the,271,48.7,OpenSubtitles v2018 / OPUS
337,go with,271,48.7,OpenSubtitles v2018 / OPUS
338,be back,271,48.7,OpenSubtitles v2018 / OPUS
339,don't mind,271,48.7,OpenSubtitles v2018 / OPUS
340,good to,270,48.7,OpenSubtitles v2018 / OPUS
341,i don't understand,270,48.7,OpenSubtitles v2018 / OPUS
342,they don't,269,48.6,OpenSubtitles v2018 / OPUS
343,did you get,269,48.6,OpenSubtitles v2018 / OPUS
344,you'll have,268,48.6,OpenSubtitles v2018 / OPUS
345,i'm just,267,48.6,OpenSubtitles v2018 / OPUS
346,all the time,267,48.6,OpenSubtitles v2018 / OPUS
347,well it's,265,48.5,OpenSubtitles v2018 / OPUS
348,he's not,265,48.5,OpenSubtitles v2018 / OPUS
349,up here,265,48.5,OpenSubtitles v2018 / OPUS
350,better get,265,48.5,OpenSubtitles v2018 / OPUS
351,you're going to,263,48.4,OpenSubtitles v2018 / OPUS
352,down the,263,48.4,OpenSubtitles v2018 / OPUS
353,you know that,262,48.4,OpenSubtitles v2018 / OPUS
354,get away,262,48.4,OpenSubtitles v2018 / OPUS
355,i'll see,260,48.3,OpenSubtitles v2018 / OPUS
356,can't you,260,48.3,OpenSubtitles v2018 / OPUS
357,come out,259,48.3,OpenSubtitles v2018 / OPUS
358,it isn't,259,48.3,OpenSubtitles v2018 / OPUS
359,maybe i,259,48.3,OpenSubtitles v2018 / OPUS
360,think i'm,258,48.3,OpenSubtitles v2018 / OPUS
361,you want me,258,48.3,OpenSubtitles v2018 / OPUS
362,come and,258,48.3,OpenSubtitles v2018 / OPUS
363,please don't,257,48.2,OpenSubtitles v2018 / OPUS
364,first time,257,48.2,OpenSubtitles v2018 / OPUS
365,take your,257,48.2,OpenSubtitles v2018 / OPUS
366,you haven't,256,48.2,OpenSubtitles v2018 / OPUS
367,it's been,255,48.2,OpenSubtitles v2018 / OPUS
368,tell them,255,48.2,OpenSubtitles v2018 / OPUS
369,good luck,255,48.2,OpenSubtitles v2018 / OPUS
370,i've never,255,48.2,OpenSubtitles v2018 / OPUS
371,let go,255,48.2,OpenSubtitles v2018 / OPUS
372,in the morning,255,48.2,OpenSubtitles v2018 / OPUS
373,i want you to,255,48.2,OpenSubtitles v2018 / OPUS
374,think that,255,48.2,OpenSubtitles v2018 / OPUS
375,didn't have,255,48.2,OpenSubtitles v2018 / OPUS
376,thank you very,254,48.1,OpenSubtitles v2018 / OPUS
377,can't do,253,48.1,OpenSubtitles v2018 / OPUS
378,he can't,253,48.1,OpenSubtitles v2018 / OPUS
379,take him,252,48.1,OpenSubtitles v2018 / OPUS
380,go back to,251,48.0,OpenSubtitles v2018 / OPUS
381,to look,251,48.0,OpenSubtitles v2018 / OPUS
382,you up,251,48.0,OpenSubtitles v2018 / OPUS
383,thank you very much,251,48.0,OpenSubtitles v2018 / OPUS
384,be all right,251,48.0,OpenSubtitles v2018 / OPUS
385,after all,250,48.0,OpenSubtitles v2018 / OPUS
386,in and,249,48.0,OpenSubtitles v2018 / OPUS
387,what's that,248,47.9,OpenSubtitles v2018 / OPUS
388,take this,248,47.9,OpenSubtitles v2018 / OPUS
389,matter of,248,47.9,OpenSubtitles v2018 / OPUS
390,forget it,247,47.9,OpenSubtitles v2018 / OPUS
391,you find,247,47.9,OpenSubtitles v2018 / OPUS
392,i believe,246,47.9,OpenSubtitles v2018 / OPUS
393,i've got a,246,47.9,OpenSubtitles v2018 / OPUS
394,want to see,246,47.9,OpenSubtitles v2018 / OPUS
395,i'd better,246,47.9,OpenSubtitles v2018 / OPUS
396,i'd have,246,47.9,OpenSubtitles v2018 / OPUS
397,i didn't know,246,47.9,OpenSubtitles v2018 / OPUS
398,and that's,245,47.8,OpenSubtitles v2018 / OPUS
399,and you're,244,47.8,OpenSubtitles v2018 / OPUS
400,know where,244,47.8,OpenSubtitles v2018 / OPUS
401,tell her,243,47.7,OpenSubtitles v2018 / OPUS
402,you wanna,243,47.7,OpenSubtitles v2018 / OPUS
403,i don't know what,242,47.7,OpenSubtitles v2018 / OPUS
404,i'd be,242,47.7,OpenSubtitles v2018 / OPUS
405,call me,241,47.7,OpenSubtitles v2018 / OPUS
406,isn't that,240,47.6,OpenSubtitles v2018 / OPUS
407,through the,240,47.6,OpenSubtitles v2018 / OPUS
408,he's been,240,47.6,OpenSubtitles v2018 / OPUS
409,let me go,239,47.6,OpenSubtitles v2018 / OPUS
410,down and,239,47.6,OpenSubtitles v2018 / OPUS
411,time for,238,47.6,OpenSubtitles v2018 / OPUS
412,it'll be,238,47.6,OpenSubtitles v2018 / OPUS
413,take you,238,47.6,OpenSubtitles v2018 / OPUS
414,we won't,238,47.6,OpenSubtitles v2018 / OPUS
415,we're going to,238,47.6,OpenSubtitles v2018 / OPUS
416,take me,238,47.6,OpenSubtitles v2018 / OPUS
417,take it easy,238,47.6,OpenSubtitles v2018 / OPUS
418,never mind,238,47.6,OpenSubtitles v2018 / OPUS
419,a matter,237,47.5,OpenSubtitles v2018 / OPUS
420,there's nothing,237,47.5,OpenSubtitles v2018 / OPUS
421,i've got to,237,47.5,OpenSubtitles v2018 / OPUS
422,no matter,236,47.5,OpenSubtitles v2018 / OPUS
423,to let,236,47.5,OpenSubtitles v2018 / OPUS
424,out here,236,47.5,OpenSubtitles v2018 / OPUS
425,that's it,236,47.5,OpenSubtitles v2018 / OPUS
426,no thank,236,47.5,OpenSubtitles v2018 / OPUS
427,no it's,235,47.5,OpenSubtitles v2018 / OPUS
428,love with,235,47.5,OpenSubtitles v2018 / OPUS
429,think it's,235,47.5,OpenSubtitles v2018 / OPUS
430,talk about,234,47.4,OpenSubtitles v2018 / OPUS
431,call it,234,47.4,OpenSubtitles v2018 / OPUS
432,you out,233,47.4,OpenSubtitles v2018 / OPUS
433,you know i,233,47.4,OpenSubtitles v2018 / OPUS
434,across the,233,47.4,OpenSubtitles v2018 / OPUS
435,after the,233,47.4,OpenSubtitles v2018 / OPUS
436,no thank you,233,47.4,OpenSubtitles v2018 / OPUS
437,find it,232,47.3,OpenSubtitles v2018 / OPUS
438,you'll get,231,47.3,OpenSubtitles v2018 / OPUS
439,what you're,231,47.3,OpenSubtitles v2018 / OPUS
440,what's your,230,47.3,OpenSubtitles v2018 / OPUS
441,in love with,230,47.3,OpenSubtitles v2018 / OPUS
442,out to,230,47.3,OpenSubtitles v2018 / OPUS
443,i take,230,47.3,OpenSubtitles v2018 / OPUS
444,don't have to,230,47.3,OpenSubtitles v2018 / OPUS
445,time you,230,47.3,OpenSubtitles v2018 / OPUS
446,a matter of,230,47.3,OpenSubtitles v2018 / OPUS
447,man in,229,47.2,OpenSubtitles v2018 / OPUS
448,didn't want,228,47.2,OpenSubtitles v2018 / OPUS
449,i'll tell you,227,47.2,OpenSubtitles v2018 / OPUS
450,think it,227,47.2,OpenSubtitles v2018 / OPUS
451,you're gonna,225,47.1,OpenSubtitles v2018 / OPUS
452,to try,225,47.1,OpenSubtitles v2018 / OPUS
453,think you're,225,47.1,OpenSubtitles v2018 / OPUS
454,what do you think,225,47.1,OpenSubtitles v2018 / OPUS
455,are you sure,225,47.1,OpenSubtitles v2018 / OPUS
456,can't get,224,47.0,OpenSubtitles v2018 / OPUS
457,by the way,224,47.0,OpenSubtitles v2018 / OPUS
458,no thanks,223,47.0,OpenSubtitles v2018 / OPUS
459,look like,223,47.0,OpenSubtitles v2018 / OPUS
460,i was just,223,47.0,OpenSubtitles v2018 / OPUS
461,want a,222,47.0,OpenSubtitles v2018 / OPUS
462,good for,222,47.0,OpenSubtitles v2018 / OPUS
463,over to,222,47.0,OpenSubtitles v2018 / OPUS
464,she's a,221,46.9,OpenSubtitles v2018 / OPUS
465,that in,221,46.9,OpenSubtitles v2018 / OPUS
466,i come,221,46.9,OpenSubtitles v2018 / OPUS
